Make,records,total_fatal,total_serious,total_minor,total_uninjured,incidents_with_fatal,incidents_with_serious,avg_fatal_per_record,prop_incidents_with_fatal,avg_serious_per_record
AERO COMMANDER,69,24,21,12,55,19,12,0.34782608695652173,0.2753623188405797,0.30434782608695654
AERONCA,149,23,37,22,139,16,26,0.15436241610738255,0.10738255033557047,0.2483221476510067
AEROSPATIALE,46,38,12,15,49,13,6,0.8260869565217391,0.2826086956521739,0.2608695652173913
AIR TRACTOR,96,37,16,7,34,35,16,0.3854166666666667,0.3645833333333333,0.16666666666666666
AIR TRACTOR INC,217,40,35,20,128,40,35,0.18433179723502305,0.18433179723502305,0.16129032258064516
AIRBUS,251,1212,179,72,16759,14,21,4.828685258964144,0.055776892430278883,0.7131474103585658
AMERICAN CHAMPION AIRCRAFT,46,9,9,5,47,7,9,0.1956521739130435,0.15217391304347827,0.1956521739130435
AVIAT AIRCRAFT INC,72,7,11,5,81,4,9,0.09722222222222222,0.05555555555555555,0.1527777777777778
AYRES CORPORATION,38,5,8,5,21,5,8,0.13157894736842105,0.13157894736842105,0.21052631578947367
Aero Commander,360,222,68,80,431,100,53,0.6166666666666667,0.2777777777777778,0.18888888888888888
Aeronca,487,95,119,146,431,64,95,0.19507186858316222,0.13141683778234087,0.24435318275154005
Aerospatiale,342,311,135,197,2544,78,84,0.9093567251461988,0.22807017543859648,0.39473684210526316
Aerostar,87,19,70,57,235,8,53,0.21839080459770116,0.09195402298850575,0.8045977011494253
Aerotek,39,19,8,8,29,14,7,0.48717948717948717,0.358974358974359,0.20512820512820512
Agusta,44,52,4,16,58,17,4,1.1818181818181819,0.38636363636363635,0.09090909090909091
Air Tractor,595,84,59,104,373,80,59,0.1411764705882353,0.13445378151260504,0.09915966386554621
Airbus,40,113,13,34,4502,1,5,2.825,0.025,0.325
Airbus Industrie,142,1024,131,387,18517,11,41,7.211267605633803,0.07746478873239436,0.9225352112676056
Alon,30,9,4,12,18,6,4,0.3,0.2,0.13333333333333333
American,61,15,19,32,42,11,15,0.2459016393442623,0.18032786885245902,0.3114754098360656
Aviat,112,16,17,18,127,11,13,0.14285714285714285,0.09821428571428571,0.15178571428571427
Ayres,215,38,23,37,137,36,23,0.17674418604651163,0.16744186046511628,0.10697674418604651
BEECH,1042,839,254,200,1232,330,151,0.8051823416506718,0.31669865642994244,0.2437619961612284
BELL,588,397,200,140,615,165,110,0.6751700680272109,0.28061224489795916,0.3401360544217687
BELLANCA,159,31,29,29,142,23,25,0.1949685534591195,0.14465408805031446,0.18238993710691823
BOEING,1151,2216,1221,324,76338,40,119,1.9252823631624674,0.03475238922675934,1.060816681146829
BOMBARDIER,47,23,25,3,1131,2,3,0.48936170212765956,0.0425531914893617,0.5319148936170213
BOMBARDIER INC,68,55,16,12,2526,2,5,0.8088235294117647,0.029411764705882353,0.23529411764705882
Balloon Works,139,14,110,87,292,10,89,0.10071942446043165,0.07194244604316546,0.7913669064748201
Beech,4330,2945,841,1141,6659,1245,535,0.6801385681293303,0.28752886836027713,0.19422632794457276
Bell,2134,935,678,982,2457,418,414,0.4381443298969072,0.1958762886597938,0.3177132146204311
Bellanca,886,314,167,210,788,191,121,0.3544018058690745,0.21557562076749437,0.18848758465011287
Boeing,1594,6532,936,2437,132037,127,311,4.097867001254705,0.07967377666248432,0.5872020075282308
Boeing Stearman,51,8,5,13,71,5,4,0.1568627450980392,0.09803921568627451,0.09803921568627451
Bombardier,30,56,10,17,1155,2,7,1.8666666666666667,0.06666666666666667,0.3333333333333333
